speech_party,date,month,month_start,speech_rows,speech_label_type,mpds_party_id,mpds_partyname,mpds_partyabbrev,manifesto_countryname,manifesto_partyname,manifesto_partyabbrev,manifesto_date,edate,manifesto_month_start,manifesto_effective_date,doc_key,selection_method
KDU-ČSL,2013-12-10,2013-12,2013-12-01,11,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2013-12-10,2013-12,2013-12-01,70,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2013-12-10,2013-12,2013-12-01,40,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2013-12-10,2013-12,2013-12-01,36,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2013-12-10,2013-12,2013-12-01,19,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2013-12-12,2013-12,2013-12-01,68,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2013-12-12,2013-12,2013-12-01,34,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2013-12-12,2013-12,2013-12-01,4,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2013-12-12,2013-12,2013-12-01,13,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2013-12-12,2013-12,2013-12-01,9,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2013-12-12,2013-12,2013-12-01,17,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2013-12-12,2013-12,2013-12-01,20,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2013-12-16,2013-12,2013-12-01,28,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2013-12-16,2013-12,2013-12-01,33,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2013-12-16,2013-12,2013-12-01,1,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2013-12-16,2013-12,2013-12-01,39,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2013-12-16,2013-12,2013-12-01,110,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2013-12-16,2013-12,2013-12-01,85,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2013-12-16,2013-12,2013-12-01,23,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2013-12-19,2013-12,2013-12-01,46,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2013-12-19,2013-12,2013-12-01,61,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2013-12-19,2013-12,2013-12-01,14,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2013-12-19,2013-12,2013-12-01,29,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2013-12-19,2013-12,2013-12-01,32,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
